Job Title,Company Name,Location,Posted Time Ago,Description,Seniority Level,Employment Type,Job Function,Industries,Industries Sorted
Vice President of Data Security and IT,Chan Zuckerberg Biohub,"San Francisco, CA",4 weeks ago,"The Chan Zuckerberg Biohub (""CZ Biohub”) is an independent nonprofit medical research organization based in the San Francisco Bay Area. The Chan Zuckerberg Biohub supports scientific research to cure, prevent or manage disease in our children’s lifetime. Our mission is to understand the fundamental mechanisms underlying disease and to develop new technologies which will lead to actionable diagnostics and effective therapies. We harness the power and possibility of collaboration to drive discovery and set the standard for open, impactful science. For more information, please visit czbiohub.org.



CZ Biohub seeks to recruit a Vice President of Security and IT who will assume a critical, newly created role on the leadership team. Reporting to the Chief Operating Officer, the Vice President of Security and IT will be responsible for leading the development and implementation of data security and technology strategies. This role will support achievement of CZ Biohub’s scientific goals by fostering innovation, open science and collaboration, all while driving operational excellence and coordinating the evaluation, deployment, and management of current and future technology across the organization.

The Vice President of Security and IT will foster the adoption of modern technology and infrastructure to support an agile and dynamic operating platform for the organization to achieve its mission. This includes the implementation of a full-spectrum, end-to-end, information security architecture at appropriate scale.



She or he should operate in a proactive and deliberate manner to assess the current state and determine the strategic path forward with a strong focus on execution and delivery while monitoring and tracking progress related to this journey.






The ideal candidate will be a seasoned enterprise technology and information security leader with experience developing and leading an information technology program while infusing best practices in the areas of security and information risk management within a fast-paced, dynamic, technology-centric company.

Bachelor’s Degree (Management Information Systems, security specialization or equivalent) and Advanced Degree or equivalent experience required.









We offer a robust benefits program that enables the important work Biohubbers do everyday. Our benefits include healthcare coverage, life and disability insurance, commuter subsidies, family planning services with fertility care, childcare stipend, 401(k) match, flexible time off and a generous parental leave policy. In addition, we honor our commitment to career development and our value of scholarly excellence through regular onsite opportunities to learn from the world's leading scientists.",Executive,Full-time,Other,Higher EducationResearchBiotechnology,Education
Managing Director,"Attain, LLC","McLean, VA",3 days ago,"Who We Seek
Passion Seekers. You genuinely care about the work that you do and its impact on society.
Self-Starters. You’re a go-getter who isn’t afraid to step up and disrupt the status quo.











15+
Bachelor’s Degree



Attain is a place for great ideas and the people who have them. As a digital solutions, management, and strategy consulting firm, our professionals provide innovative solutions to revolutionize government, education, health, and nonprofit organizations and positively impact those they serve. We are business analysts, technologists, digital strategists, managers of change, and forward thinkers, with the entrepreneurial drive to shape the future. With a nationwide presence, our team is in 40 states and the District of Columbia. Visit www.attain.com/careers to explore your path forward with Attain.



For more Information on Equal Employment Opportunity visit EEO and EEO Poster Supplement .",Executive,Full-time,Business Development,Information Technology and ServicesComputer SoftwareFinancial Services,Information Technology
Operations Excellence Manager / Business Process Manager,"Belkorp Ag, LLC","Modesto, CA",3 days ago,"Operations Excellence Manager / Business Process Manager

Belkorp Ag – Modesto, California

Process Improvement. Strategy. Customer Experience. Management. Teamwork. Finding ways to make things better.

Sound like your happy place?

If you find great satisfaction in observing existing company processes, gathering data and information and presenting solutions to create improvements and implement new procedures, and want to be a part of a team with longevity and a positive culture, this could be your perfect fit.

We are seeking an with a focus in process improvement and customer experience improvement to join our work family and support our company operations. This is a newly created role as a result of company growth.



You are integral to the company’s continuous improvement efforts to optimize efficiency and effectiveness of aftermarket while also guiding dealerships to standardization and best-practices. Your job duties will be a mixture of streamlining processes and creating standardization, management of employees and performing daily operations to ensure the delivery of top-tier customer service.







A successful candidate in this role is someone who implements standardized process improvements that generate business results that save time and money, with an approach that obtains the trust and buy-in of the team.






Compensation DOE + performance-based bonus potential.

This position includes full medical, dental and vision insurance with a variety of coverage options, company-provided cell phone and laptop, employer-funded 401k and additional roth option. You will also have access to a company vehicle and fuel card.





Powered by JazzHR

TBic7GlRoN",Director,Full-time,Sales,AutomotiveMachineryRetail,Automotive
Sr. Director IT Operations,Axos Bank,"San Francisco, CA",5 days ago,"Axos

Born digital, Axos BankTM has reinvented the banking model and grown to nearly $11.8 billion in assets since our founding in 2000. With a broad and ever-growing range of financial products, Axos Bank is rated among the top 5 digital banks in the country! Axos Financial is our holding company and publicly traded on the New York Stock Exchange under the symbol ""AX (NYSE: AX).







We are looking for someone with strong leadership skills, willing to be a hands-on manager and lead DevOps and Systems Engineering Teams responsible for Axos' migration to the cloud.

















All offers are contingent upon the candidate successfully passing a credit check, criminal background check, and pre-employment drug screening, which includes screening for marijuana. Axos Bank is a federally regulated banking institution. At the federal level, marijuana is an illegal schedule 1 drug; therefore, we will not employ any person who tests positive for marijuana, regardless of state legalization.



Axos Bank is an Equal Opportunity employer. We are committed to providing equal employment opportunities to all employees and applicants without regard to race, religious creed, color, sex (including pregnancy, breast feeding and related medical conditions), gender, gender identity, gender expression, sexual orientation, national origin, ancestry, citizenship status, military and veteran status, marital status, age, protected medical condition, genetic information, physical disability, mental disability, or any other protected status in accordance with all applicable federal, state and local laws.



While performing the duties of this position, the employee is required to sit for extended periods of time. Manual dexterity and coordination are required while operating standard office equipment such as computer keyboard and mouse, calculator, telephone, copiers, etc.

The work environment characteristics described here are representative of those an employee may encounter while performing the essential functions of this position. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this position.",Director,Full-time,Information Technology,BankingFinancial ServicesInvestment Management,Banking
"Director, Business Intelligence & Data Officer",Catalight Foundation,"Walnut Creek, CA",4 weeks ago,"JOB SUMMARY
 Reporting to the VP, Business Intelligence & Analytics, the Director of Business Intelligence & Data Officer is the data architect and governance leader for the Catalight Foundation and its Family of Companies (FoC). Working closely with FoC leadership and stakeholders, the Director is responsible for developing and governing our data and information strategy in order to drive business decisions and growth. The Director leads the development of data policies, processes, and practices, and works closely with FoC stakeholders to collect, prepare, organize, protect, and analyze data assets while ensuring that the company meets industry best practices. ",Director,Full-time,Strategy/Planning,Nonprofit Organization Management,Nonprofit Organization Management
Director of Information Technology,Gallin Associates,"Northwest Township, OH",6 days ago,"Director Of Information Technology (job Description)

We have partnered with a Global Automotive Manufacturer in NW Ohio to lead a search for their Director of Information Technology.",Director,Full-time,Information Technology,ConstructionStaffing and RecruitingHospital & Health Care,Construction
Director of Information Technology,Gables Search Group,"Northwest Township, OH",6 days ago,"Director Of Information Technology (job Description)

We have partnered with a Global Automotive Manufacturer in NW Ohio to lead a search for their Director of Information Technology.",Director,Full-time,Information Technology,ConstructionStaffing and RecruitingHospital & Health Care,Construction
"Director, Technology PMO",Major League Soccer,"New York, NY",6 months ago,"Overview

The Director is a member of the Information Technology team who will be responsible for setting up and managing the Technology Project Management Office . This is a new role within the organization as we work to create efficiencies, maintain project standards and improve project visibility across the enterprise. The Director will work to establish methodologies and processes that work best for our organization. Along with being the visionary for the Technology PMO, this position will manage highly visible projects in a fast-paced environment that cross multiple business divisions.









Apply for this job online Apply

Share

Email this job to a friend Refer

Sorry the Share function is not working properly at this moment. Please refresh the page and try again later.

Share on your newsfeed



Not ready to apply? Connect with us for general consideration.",Director,Full-time,Engineering,Marketing and AdvertisingInformation Technology and ServicesInternet,Marketing and Advertising
Principal Information Technology (IT) Acquisition Specialist with Security Clearance,ClearanceJobs,"Arlington, VA",2 months ago,"Chenega Professional Services Strategic Business Unit-Eagle One Solutions, Inc.] Company Job Title: Principal Information Technology (IT) Acquisition Specialist Chenega Job Title: Principal Information Technology (IT) Acquisition Specialist Clearance: Secret Clearance Location: Arlington, VA Reports To: Program Manager FLSA Status: Exempt, Full Time Prepared Date: 02-13-2020 Approved Date: 02-13-2020 Summary:",Director,Full-time,Education,Information Technology and ServicesComputer SoftwareFinancial Services,Information Technology
Director Information Technology,Cullman Regional Medical Center,"Cullman, AL",4 weeks ago,"Director of Information Technology
Position Summary
The Director of Information Technology will develop and lead a technical infrastructure which includes on-site and cloud based applications. This position delivers solutions that support the most effective IT environment meeting current needs, while preparing for future opportunities. Responsible for all enterprise-wide information technology including infrastructure and architecture, applications support and development, networks, telecommunications, vendor management, sourcing, project management and data center operations. Initiate evaluation of new systems and products to determine appropriateness for supporting strategic plan, examining compatibility, functionality, integration, cost, and benefit for Cullman Regional.
Serves as the communication link between Information Technology and operating units, providing guidance and information support on all aspects of computer systems and technology. Participates in overall business planning and enables innovation
This position reports directly to the Chief Operations Officer and participates as an integral member of the management team.",Director,Full-time,Information Technology,Information Technology and ServicesTelecommunicationsHospital & Health Care,Information Technology
Director Of Technology,Saatchi & Saatchi Wellness,New York City Metropolitan Area,5 days ago,"Position Overview

If you are passionate about technology, love leading with a hands-on approach, and have managed projects and/or people in an agency environment - this is the role for you. The ideal candidate will have several years of experience in numerous client-side and server-side technologies combined with strong client management and team leadership skills. You will work with clients and internal teams to understand business objectives and define technology solutions that address them. You will manage and grow a portfolio of technology business, be responsible for technology planning and scoping, laisse often with clients, internal department leads, and partners while overseeing development, and at times roll up your sleeves to solve technology design/architectural problems and some occasional hands-on coding.",Director,Full-time,Advertising,Marketing and Advertising,Marketing and Advertising
Chief Product Officer / Head of Product & Vision,Andiamo Partners,San Francisco Bay Area,4 days ago,"The Chief Product Officer (CPO) must be a visionary and an avid evangelist of the mission and the product as well as a great leader and supervisor.

About Us: A mission-driven, data-driven, stealth startup.",Director,Full-time,Product Management,Information Technology and ServicesComputer Software,Information Technology
Сustomer Success Manager,Star,"California, United States",3 days ago,"We’re looking for a Customer Success Manager with a challenger mindset to join our fast growing organization. We expect you to have experience of product design and development processes, and to be capable of surfacing and proactively addressing project challenges and risks – with customer stakeholders as well as the internal team. You will be an engagement owner and customer advocate who will ensure that our clients continue to receive the highest standard of service in order to reach their desired outcomes.",Director,Full-time,Business Development,Information Technology and ServicesComputer SoftwareDesign,Information Technology
Director of Information Technology and Data Management Systems,Goddard College,"Plainfield, VT",4 days ago,"Benefits Eligible / Exempt / Salary Range $65,000.00 – $75,000.00 @ yr. / 40 hrs. @ wk.

BASIC FUNCTION

To facilitate the effective functioning and use of the colleges data management systems. To oversee IT consultants in the management and development the college’s IT infrastructure; facilitate the development and implementation of security and business continuity plans and procedures. To develop and manage a budget for information systems; to collaboratively work with relevant staff to ensure the optimal functioning of the college’s IT services.



SUPERVISION RECEIVED

Supervision is received from the Chief Finance and Administration Officer.






Click Here



Applications accepted until the position is filled.",Director,Full-time,Information Technology,Nonprofit Organization ManagementHigher EducationEducation Management,Nonprofit Organization Management
"Executive Director, The Earth Institute",Columbia University in the City of New York,"New York, NY",4 weeks ago,"Requisition no: 507645
Work Type: Full Time
Location: Campus|Manhattanville
School/Department: null

Position Summary

Reporting to the Director of the Earth Institute, the Executive Director is responsible for planning and management of the Institute as assigned by the Director. S/he will serve as the senior professional executive, as well as the implementation partner for the Director.

The Executive Director will be a key member of the Earth Institute leadership and will be responsible for the central operational management of priorities, goals and activities (e.g., operations, planning, and performance). S/he will have oversight of the day-to-day operational management for the Institute and serve as its key daily manager.

This position will provide operational leadership support to the Director with strategic planning and change management initiatives, project management, and program development. S/he will represent executive management in key external interactions, as well as internally within the Institute and within other parts of the University, while monitoring linkages with Institute senior administrative officers to ensure responsiveness. S/he will collaborate with senior Earth Institute leadership including the Earth Institute Faculty Chair and Executive Committee and serve as an anchor facilitating research, education, impact, and outreach across the Institute and its networked activity around the University.

The Executive Director will be an institutional innovator charged with executing strategy as well as expanding and strengthening the Earth Institute during a time of organizational change, especially as Columbia University actively explores the creation of a School of Climate, the Earth Institute's future is closely tied to the outcomes of these ongoing discussions. As a result of these conversations, the Institute may wholly re-organize its academic vision and scope, structure, relationship to the rest of the University, and its financial model. The Executive Director will have experience with leading an organization successfully through a period of institutional change, while maintaining day-to-day operations and working towards long-term goals and priorities. S/he will work closely with the Director and senior University leadership in envisioning and implementing changes to the Institute in line with the University vision on Climate and the needs of the Institute. The Executive Director will also work closely with the leadership at the Lamont-Doherty Earth Observatory to chart a path for a more sustainable business model, which builds on its academic success while also ensuring fiscal sustainability. This work may extend to the other units on the Lamont campus.

The Executive Director will also serve as a thought leader in the areas of climate and sustainability. S/he will develop relationships with key experts and stakeholders across the Institute and University as well as targeted external partners, to expand the influence, impact and brand of the Institute and its work. The Executive Director will represent the Director and the Earth Institute within the University and to external constituents.































Equal Opportunity Employer / Disability / Veteran

Columbia University is committed to the hiring of qualified local residents.",Executive,Full-time,Business Development,Nonprofit Organization ManagementResearchHospital & Health Care,Nonprofit Organization Management
Director of Information Technology,"Markent Personnel, Inc.","Montpelier, OH",4 days ago,"Director Of Information Technology (job Description)

We have partnered with a Global Automotive Manufacturer in NW Ohio to lead a search for their Director of Information Technology.",Director,Full-time,Information Technology,ConstructionStaffing and RecruitingHospital & Health Care,Staffing and Recruiting
Director Of Operations,Focal Systems,"New York, NY",6 days ago,"Company Description
Focal Systems is a fast-growing Computer Vision AI startup in Silicon Valley. We have doubled in size every year since we were founded 3 years ago.

Job Description",Director,Full-time,Management,RetailComputer SoftwareComputer Hardware,Computer Software
Chief Information Officer in Information Technology,Five Star Senior Living,"Newton, MA",2 weeks ago,"Location Information
Five Star Senior Living's corporate headquarters are located in Newton, Massachusetts. Just 20 minutes outside of downtown Boston, the building features easy access to public transportation and the Massachusetts Turnpike.





The Chief Information Officer (CIO), will drive forward an IT strategy that is focused on improving the core business, building strong capabilities on a solid foundation and promoting innovative technologies that enable growth. As the company looks toward the future, the CIO will need to chart the course and set the vision and strategy driving the company’s technology organization to the next level while enabling a more efficient, innovative, and data rich organization to support the growth of the company.

Working with the leadership team, the CIO will be in charge of the execution of the enterprise-wide IT strategy, and ensure its alignment with the enterprise’s business strategy and the delivery of capabilities required to achieve business success. He/she will be expected to communicate efficiently and with the priorities of the business first to help continue to drive positive growth. The Company is looking for a dynamic technology leader who works comfortably in an innovative and transforming culture.



A highly effective business leader who excels in defining and executing a technology vision. He/she must have a deep understanding on future technologies, and utilizing data and analytics a business enabler. The individual must have a high IQ and EQ to be viewed as an equal by their business peers.

An established visionary leader with the personal and professional skills to direct both complexity and ambiguity while leading a workforce that impacts every department in the company and every aspect of the business.




This job description represents an overview of some of the responsibilities that are essential to the functions and qualifications of the position. This job description is not intended to be, nor is it, an exhaustive list of all of the responsibilities required.





Daytime





Five Star Senior Living Inc., a national healthcare and senior living provider headquartered in Newton, Massachusetts, proudly offers the highest quality service and care with the warmth and hospitality of home. Founded in 2000, Five Star has two major operating division: Five Star Senior Living and AGEILITY Physical Therapy Solutions.

The Five Star Senior Living division includes more than 280 Independent Living, Assisted Living, Alzheimer's/Memory Care, Healthcare Centers with Skilled Nursing & Rehabilitation and Continuing Care Retirement Communities. With communities in over 30 states and more than 25,000 team members, Five Star is committed to maximizing our residents' independence and enhancing their lifestyles.

The Ageility division provides both inpatient and outpatient services to over 150 communities. These services are provided both within Five Star and to customers externally. We offer Physical, Occupational and Speech Therapy Services. Our specialty programs includes our Step up to Stop falls Program, ""Connections"" our memory care therapy program, and our executive functioning program that focuses on cognitive strategies aimed at keeping our residents independent in areas such as medication management and house hold functions.


Five Star prohibits discrimination against any applicant or employee with regard to or on the basis of race, color, religion, national or ethnic origin, age, ancestry, sex, pregnancy (including pregnancy, childbirth, lactation and related medical conditions), gender, gender identity and expression (including transgender), sexual orientation, mental or physical disability, military status, certain criminal records, genetic information (including characteristics and testing), HIV testing, a personal admission to a facility for the care and treatment of a mentally ill person and taking of parental leave or membership in any other category protected by applicable law. In addition to federal requirements, Five Star complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has communities and/or facilities. This policy applies to all terms and conditions of employment, including, but not limited to, recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

In addition, Five Star expressly prohibits any form of workplace harassment based on race, color, religion, national or ethnic origin, age, ancestry, sex, pregnancy (including pregnancy, childbirth, lactation and related medical conditions), gender, gender identity and expression (including transgender), sexual orientation, mental or physical disability, military status, certain criminal records, genetic information (including characteristics and testing), HIV testing, a personal admission to a facility for the care and treatment of a mentally ill person and taking of parental leave or membership in any other category protected by applicable law. We will not tolerate harassment of employees in the workplace, or in other settings in which employees may find themselves in connection with their employment. Improper interference with the ability of Five Star’s employees to perform their job duties may result in discipline up to and including discharge. Additionally, retaliation, including intimidation, threats, or coercion, because an employee or applicant has objected to discrimination harassment or retaliation, engaged or may engage in filing a complaint, assisted in a review, investigation, or hearing or have otherwise sought to obtain their legal rights under any federal, state, or local law is prohibited and will not be tolerated.",Executive,Full-time,Information Technology,"Health, Wellness and FitnessHospital & Health CareHospitality",Health
Vice President - Computer System Validation and Information Technology ??,The Kelly Group,"Boulder, CO",1 week ago,"Vice President - Computer System Validation and Information Technology - Boulder, CO Job Summary Develop and champion Computer System Validation Information Technology strategies to support the business strategy of continued growth, improved efficiency and improved quality of life for employees. Core to the CSV IT strategy is an enterprise model which enables a consistent service delivery across all locations. The enterprise model is achieved through delivery of CSV IT as a service and utilizes standardization, harmonization and automation to achieve efficiency. Extensive collaboration with business leaders is required to understand business needs and develop appropriate support and a relevant project portfolio. Project Portfolio Management is an ongoing responsibility and must adjust as business needs and priorities change. Ongoing communication with business leaders maintains a mutual understanding of project priorities, progress towards delivery of systems andor instruments and any issues that may arise. Ongoing maintenance of GMP compliant status for all GMP systems is essential. High availability of all systems, including IT infrastructure components such as the network, compute and storage, is necessary due to the 24x7 nature of the operation. In the role of business liaison, system ownership and system execution strategy development are mission critical as strategy development gathers multiple line-of-business andor location needs and perspectives into a coherent execution plan. Consistent with delivery of CSV IT as a service is the need to pursue continuous improvement - improving tools, technology, people and systems - in pursuit of business efficiency. The CSV IT Project Management Office is focused on business-driven projects with IT elements. Many business-critical projects require process mapping, SOP development and related training as part of the go-live effort. The CSV IT PMO provides a centralized approach to improving overall project efficiency as well as governance and structure to program management and project portfolio management. The CSV IT PMO supports, mentors and develops program managers who are directly responsible for internal projects., The CSV IT Leadership Team (System Owners, PPM, PMO, IT Operations, Computer System Validation, Lab Support, System Administration, Application Architecture and IT Infrastructure Architecture) establishes, plans, and administers the overall policies and goals for the computer system validation and information technology department. Support, mentor and develop CSV IT Staff. Executive leadership and collaboration for CSV IT Strategy Development. Strategy execution through Project Portfolio Management and Project Execution. GMP compliance through effective Computer System Validation execution High Availability of all systems, including IT Infrastructure, across all locations. Anticipates future needs through proactive capacity management and budgeting. High Availability necessitates appropriate monitoring tools and utilization. Secure the environment against any data loss and any unapproved access. Prepare and respond to any regulatory or customer audits or inspections. Experience Master's degree in Computer Science, a related field or equivalent experience, with a minimum of 20 years of delivering technology as a service which includes, but is not limited to, IT Strategy, IT Systems Design, IT Systems Deployment, IT Systems Operation, service level support, service desk management and administration. Experience must also include Project Portfolio Management and Project Management Office to facilitate business collaboration and effective execution of projects. A background in 21 CFR Part 11 environments is also required. Understanding, development and compliance with SOPs is required. Understand SOPs, deviations, corrective actions and controlled documents is a daily responsibility. A background in industrial engineering, continuous process improvement or six sigma is desirable. A background in manufacturing execution systems is desirable. A background in analytical development instruments is desirable. Interprets and applies complex technical information knowledge of systems design and implementation in a database environment knowledge of technical and user-related aspects of a personal computer environment. Skill in creative and adaptive program planning design, implementation, maintenance, and evaluation is required. If you are interested in this role, then please feel free to reach out directly to vidhi.kundaliakellyit.com or 720-201-3798 Why Kelly Registered ? By partnering with KellyRegistered Technology, you'll have direct connections to top companies around the globe-giving you the chance to put your tech skills to work on some of today's most intriguing, innovative, and high-visibility projects. In a world where change is the only constant, our unparalleled connections and IT market expertise help you take your skills exactly where you want to go. We're here to help you gain experience, keep learning, and move your career forward. About Kelly Registered At Kelly, we're always thinking about what's next and advising job seekers on new ways of working to reach their full potential. In fact, we're a leading advocate for temporarynontraditional workstyles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to work and live. Connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of workstyles, skill levels, and industries around the world. Kelly is an equal opportunity employer committed to employing a diverse workforce, including, but not limited to, minorities, females, individuals with disabilities, protected veterans, sexual orientation, gender identity. Equal Employment Opportunity is The Law.",Executive,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareStaffing and Recruiting,Information Technology
Division Director Information Technology Department,Miami-Dade County,"Westchester, FL",1 week ago,"Division Director Information Technology Department (JO 59929 ) Salary Range: $ 105,918.84 - 177,333.00 Minimum Qualifications: Bachelors degree. A minimum of five to ten years of progressively responsible professional data processing management experience is required. Recruitment Notes: The Division Director for the Radio Communication Services Division will plan and direct the activities of the operational division composed of professionals, technicians and skilled trades personnel who install, operate, maintain, troubleshoot, test and repair the Countys 700/800 MHz land mobile radio (LMR) digital, IP based P25 radio communications system manufactured by L3Harris. Additional responsibilities include the overall management and support of the Countys E911 network and supporting infrastructure to support emergency responders. Further desired experience includes planning specifications analysis, licensing, network design, scripting, installation, commissioning, integration, final acceptance, interoperability testing, multi-vendor integration/testing, LAN, WAN, virtual LAN, protocols, routing, and router configuration. Job Requirements: The following experience is preferred: Evolving broadband systems All forms of RF technologies, standard and modulation methods Oversee interface and integration of radio, broadband and microwave system to ensure uninterrupted communications to all County and municipal agencies including but not limited to law enforcement and fire rescue throughout Miami-Dade County Coordination with external vendors, contractors, and other jurisdictions in the provision of radio and other wireless system services Benefits: Miami-Dade County offers fringe benefits that include full medical, dental, vision and disability insurance, optional 457 pre-tax savings plan, optional flexible spending accounts, 14 paid holidays, vacation and sick leave, contributory membership in the Florida Retirement System, physical fitness center and day care. Resumes and other information submitted in response to this advertisement are public records pursuant to Chapter 119 Florida Statutes. Hiring decisions are contingent upon results of a background check and pre-employment physical including alcohol/drug testing. Applicants must apply online no later than Tuesday, July 28, 2020 at: www.miamidade.gov/jobs to JO 59929.",Director,Full-time,Information Technology,"Nonprofit Organization ManagementGovernment AdministrationHealth, Wellness and Fitness",Nonprofit Organization Management
Director- Business Process & Technology,AVANGRID,"Orange, CT",2 weeks ago,"Purpose
Lead, plan, coordinate and control the business IT demand both in the short and long term in order to provide IT solutions to the business that bring higher levels of process automation and efficiency, and increase business capacity to meet their strategic goals.




Lead, provides guidance and supervises subordinate geographically dispersed staff of 20-25 high level Managers, Project Managers and Lead Analysts.

Lead the definition of the Avangrid Networks IT Applications Roadmap jointly with IT and the various Business Areas and review it periodically to ensure alignment with Company’s strategy.

Coordinate and prioritize the IT Systems demand to support business processes as a means to obtain continuous efficiencies and provide technological solutions that help the business meet their long-term goals.

Promote the implementation of IT solutions and processes that help improve data quality to better support planning and operations decision processes.

Lead the implementation of global models and solutions for technical processes and systems within Avangrid Networks.

Lead the implementation of a quality management system within Avangrid Networks based on continuous processes improvement, with a focus on internal and external customer requirements identification, processes documentation and performance (KPIs), processes assessment.

Promote the development and implementation of standard processes procedures across Avangrid Networks that contribute to attain increasing levels of efficiency.

Lead the implementation of the Global Networks Change Management model within Avangrid Networks to help employees embrace change in processes and systems as a means to achieve increasing levels of excellence.

Define and promote Quality Action Plans within the Networks business that contribute to excellence performance.

Lead the integration of the Quality Management approach in the way the Networks business manages its processes.

Lead the implementation of regular process assessment through planned audits to ensure compliance with applicable procedures, and identify areas for improvement.

Define and implement Material Planning processes to deliver stock material for construction and maintenance activities in time and manner, while keeping working capital (inventory) under control, as well as ensuring critical items availability.

Lead logistic material sourcing efforts during unplanned events to minimize restoration time as much as possible.

Manage the Distribution material framework agreement in order to ensure optimal use and funds availability to satisfy operational and capital work needs.

Lead transactional relationship with manufacturers and distributors to meet material planning needs to satisfy operational and investment requirements.

Lead the development and implementation of integrated and cost effective logistics and materials supply solutions.

Contribute actively to the execution of the Networks business investment plan by satisfying logistic material needs in time and manner. Lead material sourcing strategies to support company’s operations during weather and unplanned events, in order to reduce restoration time and meet customer’s expectations.





Bachelors/Engineering degree in a related business or technical field. MBA preferred



Experience in utility sector preferred.

And previous experience in people management

Languages: English (Proficiency Level). Spanish preferred.




Avangrid employees may be assigned a system emergency role and in the event of a system emergency, may be required to work outside of their regular schedule/job duties. This is applicable to employees that will work in Connecticut, Maine, Massachusetts, and New York within AVANGRD Network and Corporate functions. This does not include those that will work for Avangrid Renewables",Director,Full-time,Management,Oil & EnergyUtilitiesFinancial Services,Oil & Energy
Chief Operations Officer,UK HealthCare,"Lexington, KY",1 week ago,"The University of Kentucky is seeking a dynamic leader to propel UK HealthCare to the next level of advanced medicine, continue to build on our extraordinary growth, and serve as the enterprise-wide Chief Operating Officer (COO). Reporting directly to the Executive Vice President for Health Affairs, the COO will be responsible for operationalizing UK HealthCare’s vision to become one of the nation’s best health systems.",Executive,Full-time,Business Development,Hospital & Health Care,Health
Vice President for Institute Technology & Chief Technology Officer,California Institute of the Arts,"Santa Clarita, CA",4 weeks ago,"Information & Responsibilities

CalArts, a highly regarded, nationally ranked independent multidisciplinary arts institution that offers undergraduate and graduate degrees in a wide range of métiers, invites applications and nominations for the position of Vice President for Institute Technology (VPIT).

The position serves as the Chief Technology Officer of the Institute, reporting to the President. Collaborating with academic and administrative leaders across the Institute, the VPIT provides overall vision, strategic and operational leadership, and execution in technology planning, policy, investments, services, and security. As a member of the President’s Advisory Group, the VPIT actively participates in all its deliberations and advises at the senior level on all issues relating to technology.

The Institute’s central IT team, known as CalArts Information Technology (CAIT), is responsible for shared infrastructure and support, the Institute’s ERP platform (Colleague), and other enterprise systems. As the head of CAIT, the VPIT is responsible for the development and delivery of this array of core IT services and systems, for providing strategic and operational guidance to Institute leadership on all aspects of information technology policy and planning, and for collaborating with school-based IT staff in the provision of school-based technology solutions and services. While CAIT staff have always collaborated with deans and their teams to support such school-specific technology, the Institute’s new VPIT will develop the trust-based relationships and appropriate structures that will enable more intentional and strategic Institute-wide approaches to technology that advance the mission and better support the operation of the Institute.

Candidates will have a bachelor’s degree and at least 10 years’ experience in technology services, including at least 6 years in a leadership role. An advanced degree is preferred. Candidates will need to demonstrate experience as a skilled leader and manager with a track record of building high-performing organizations. The VPIT will show deep understanding of and passion for the role technology systems and services play in supporting teaching, learning, and practice in a school of the arts environment. Professional experience in higher education is preferred but not required. Click here for the full position description: https://adobe.ly/2xM8ENv







Equity & Diversity

California Institute of the Arts (CalArts) seeks to employ faculty who can engage our diverse communities of learners at the highest levels of artistic endeavor and critical thinking. Across the range of practitioners from artists to scholars and librarians, we welcome candidates who possess a demonstrated worldview and cultural competency to support teaching and mentoring undergraduate and graduate students of varied backgrounds, capabilities, perspectives, social identities andgender expressions.CalArts is an equal opportunity employer.

Further Information

CalArts has a multidisciplinary approach to its studies of the arts through six schools: Art, Critical Studies, Dance, Film/Video, Music and Theater. CalArts encourages students to explore and recognize the complexity of the many aspects of the arts. It is supported by a distinguished faculty of practicing artists and provides its Bachelor and Master of Fine Arts students with the hands-on training and exposure necessary for an artist's growth. CalArts was founded in 1961 and opened in 1969 as the first institution of higher learning in the United States specifically for students interested in the pursuit of degrees in all areas of visual and performing arts.",Executive,Full-time,Information Technology,Nonprofit Organization ManagementHigher EducationEducation Management,Nonprofit Organization Management
Director Of Technology,Bonchon Franchise LLC,"Dallas, TX",5 days ago,"Job Title: Director of Technology
Department: Information Technology
Reports To: CEO
Location: Dallas, TX",Director,Full-time,Information Technology,Food & BeveragesRestaurantsHospitality,Hospitality
